Page,Questions,Objectives
`Presentation Structure <session-4-presentations-reflection/presentation-structure.html>`_,"* What is presentation structure?","* Understand presentation structure."
`Reflection And Next Steps <session-4-presentations-reflection/reflection-and-next-steps.html>`_,"* What is reflection and next steps?","* Understand reflection and next steps."
`Capstone Retrospective <session-4-presentations-reflection/capstone-retrospective.html>`_,"* What is capstone retrospective?","* Understand capstone retrospective."
